pair,entry_date,exit_date,direction,entry_z,exit_z,holding_days,pnl_pct,exit_reason
XOM/VLO,2025-01-10,2025-01-22,1,-2.4334012170040564,-0.02884952560463558,12,-0.02014583091866419,mean_reversion
XOM/VLO,2025-04-03,2025-04-08,-1,4.08085157052526,0.3940406312573171,5,0.015413939208497218,mean_reversion
XOM/VLO,2025-05-05,2025-05-21,1,-2.2921712628604074,0.29716937737863214,16,-0.03617045199353404,mean_reversion
XOM/VLO,2025-07-10,2025-07-14,1,-2.5637907162299602,0.37249098527470004,4,0.013173527280673843,mean_reversion
XOM/VLO,2025-07-24,2025-08-04,-1,2.654612616211813,0.11246998719366844,11,-0.0005475052973099226,mean_reversion
XOM/VLO,2025-09-03,2025-09-10,1,-2.124957738471558,0.3028721474338142,7,-0.009623900117331531,mean_reversion
XOM/VLO,2025-10-03,2025-10-13,-1,3.169123061333026,0.47387153827734385,10,0.005646519029897985,mean_reversion
XOM/VLO,2025-10-23,2025-10-28,1,-2.280599064790586,-0.020479304440214074,5,0.004902257922076147,mean_reversion
XOM/VLO,2025-11-20,2025-11-24,-1,2.342843342571923,0.04704868455140244,4,0.012721706510494524,mean_reversion
XOM/VLO,2025-12-11,2025-12-19,-1,2.107063306347023,0.4801932289850846,8,-0.016911123354924902,mean_reversion
XOM/VLO,2026-01-05,2026-01-07,1,-3.3471867758331597,-3.3604887850791223,2,-0.03875641828064569,mean_reversion
XOM/VLO,2026-01-08,2026-01-09,1,-2.2888613780005573,-0.20116709309770292,1,0.020916362243493417,mean_reversion
XOM/VLO,2026-03-02,2026-03-04,1,-2.0609164985061543,-3.0427654169122182,2,-0.04118333862338672,mean_reversion
XOM/VLO,2026-05-21,2026-05-22,-1,2.144380595976118,0.011346110217291996,1,0.011227771758995551,mean_reversion
XOM/VLO,2026-06-25,2026-06-30,1,-2.3607770942802806,0.029065503287789955,5,-0.015931554143637866,mean_reversion
XOM/VLO,2026-07-07,2026-07-08,-1,2.396294835503925,-0.9984266673914982,1,0.030898099826402424,mean_reversion
SLB/PSX,2023-07-21,2023-08-02,1,-3.230516997848694,0.005239082945260932,12,-0.004794156194514254,mean_reversion
SLB/PSX,2023-08-29,2023-09-07,-1,2.0381738269341363,-0.09524661518859553,9,3.3899089491760785e-05,mean_reversion
SLB/PSX,2023-09-08,2023-09-12,1,-2.5395683953540926,-0.22594312060378374,4,0.005330808402324534,mean_reversion
SLB/PSX,2023-10-09,2023-10-17,-1,2.071692426750441,0.16421007922670203,8,-0.007083839612029598,mean_reversion
SLB/PSX,2023-10-31,2023-11-03,1,-2.017867704496331,-0.4753224564268786,3,-0.003420405546153342,mean_reversion
SLB/PSX,2023-11-29,2023-11-30,1,-2.2120234582707847,-3.542022430642421,1,-0.028152083212696036,mean_reversion
SLB/PSX,2023-12-14,2023-12-20,-1,2.6596743540707295,0.4103339696419847,6,0.011779435480342874,mean_reversion
SLB/PSX,2024-01-22,2024-01-25,-1,2.0708807679750643,-0.3914977018944203,3,0.01053134328892583,mean_reversion
SLB/PSX,2024-01-30,2024-02-06,1,-4.030290839511441,-0.3396831346822374,7,-0.025224399579886345,mean_reversion
SLB/PSX,2024-03-28,2024-04-02,1,-2.107172484969618,-3.105968521071105,5,-0.022035255802266607,mean_reversion
SLB/PSX,2024-04-03,2024-04-05,1,-2.432608870824841,0.09088537882601223,2,0.00539246623343632,mean_reversion
SLB/PSX,2024-06-24,2024-06-26,-1,2.5682055893693856,-0.6376129610868537,2,0.015609600784427267,mean_reversion
SLB/PSX,2024-07-25,2024-07-30,1,-2.467138798934007,-3.0690947222736384,5,-0.02511827353165784,mean_reversion
SLB/PSX,2024-10-18,2024-10-23,1,-2.9398708096608863,0.6099002192107827,5,0.013793512499838505,mean_reversion
SLB/PSX,2024-11-06,2024-11-13,-1,2.1209061322312266,-1.8400598487979072,7,0.007764732549675212,mean_reversion
SLB/PSX,2024-12-16,2024-12-18,-1,2.14041534188589,0.04093970093831684,2,0.011762648856196267,mean_reversion
SLB/PSX,2025-01-17,2025-01-22,-1,3.238519019831724,-0.7198822777945552,5,0.012521524511199412,mean_reversion
SLB/PSX,2025-03-05,2025-03-11,-1,2.74154696967888,0.31451983331887146,6,0.00521566147601186,mean_reversion
SLB/PSX,2025-03-25,2025-03-31,-1,2.64660794679039,0.30786891381119974,6,-0.004090571719912902,mean_reversion
